product_category,product_name,brand,current_market_price,purchase_price,purchase_age_days,initial_warranty_days,warranty_left_days,condition_score,condition_grade,scratch_severity,dent_severity,crack_severity,usage_severity,missing_accessories,seller_description,resale_price
Laptops,MacBook Pro 14 128GB,Apple,157900,182400,896,180,0,93,A,0,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,74300
Tablets,iPad Air 512GB,Apple,15400,15600,1882,365,0,25,Reject,3,4,6,7,FALSE,Cracked corner but device works properly. Minor scratches on body. Small dents.,1550
Headphones,AirPods 2,Apple,22900,27000,1094,365,0,51,D,5,2,4,4,FALSE,Crack on outer panel but usable. Visible scratches on body. Small dents. Refurbished and tested by seller.,2500
Refrigerators,Eon 244L,Godrej,22000,24400,871,1522,651,87,B,2,0,0,1,FALSE,Minor scratches on body.,11550
Furniture,Sofa Cum Bed,Godrej,42900,50700,193,545,352,70,C,0,2,5,1,FALSE,Crack on outer panel but usable. Small dents.,20150
Televisions,UHD 43 Smart TV,LG,147100,170700,732,365,0,76,B,0,3,0,2,TRUE,Small dents. Missing original accessories or packaging.,46150
Televisions,Frame 55,Samsung,73800,73400,2324,365,0,61,C,0,2,0,8,FALSE,Small dents. Heavily used with visible wear.,8650
Televisions,Bravia X90L 55,Sony,122000,123200,1850,730,0,11,Reject,4,0,9,7,TRUE,Major crack visible but product powers on. Minor scratches on body. Heavily used with visible wear.,12200
Smart Watches,Watch SE,Apple,26400,29800,2339,1360,0,59,D,6,1,0,2,TRUE,Visible scratches on body. Missing original accessories or packaging.,2700
Mobile Phones,iPhone 13 256GB,Apple,62500,75000,1895,365,0,65,C,6,0,0,6,FALSE,Visible scratches on body. Moderate usage marks.,6250
Tablets,Galaxy Tab S9 FE 512GB,Samsung,9100,9900,2277,1535,0,46,D,7,5,0,7,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,910
Tablets,iPad 9th Gen,Apple,60300,62400,2316,1460,0,41,D,8,3,0,7,TRUE,Visible scratches on body. Small dents. Heavily used with visible wear.,6050
Furniture,BILLY Bookcase,IKEA,129300,157300,282,1460,1178,76,B,6,2,0,3,FALSE,Visible scratches on body. Small dents.,84800
Televisions,OLED C3 55,LG,110000,107200,1116,730,0,81,B,2,3,0,2,FALSE,Minor scratches on body. Small dents.,27550
Washing Machines,Stainwash 7.5kg,Whirlpool,11200,12300,1810,1825,15,36,Reject,9,3,0,8,TRUE,Visible scratches on body. Small dents. Heavily used with visible wear.,1120
Refrigerators,Side-by-Side 653L,Samsung,71100,73900,1665,545,0,58,D,3,2,3,4,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,10350
Smart Watches,Storm Pro,Boat,57300,66400,1886,1095,0,55,D,3,1,0,6,TRUE,Minor scratches on body. Moderate usage marks. Missing original accessories or packaging.,5950
Televisions,OLED C3 55 Smart TV,LG,35000,40000,2484,365,0,48,D,4,2,0,8,TRUE,Minor scratches on body. Small dents. Heavily used with visible wear.,3500
Smart Watches,Xtend Pro,Boat,11300,11900,511,1095,584,94,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,7600
Headphones,Tune 760NC,JBL,7300,8200,1320,1132,0,59,D,2,3,3,2,FALSE,Minor scratches on body. Small dents. Refurbished and tested by seller.,1150
Smart Watches,Storm Pro,Boat,6200,6300,1866,730,0,61,C,3,3,2,3,FALSE,Minor scratches on body. Small dents.,750
Televisions,Crystal 4K 55,Samsung,174100,189900,2068,1053,0,76,B,1,0,0,2,FALSE,Fully functional with light cosmetic wear.,29100
Smart Watches,Xtend Pro,Boat,13200,14000,2213,545,0,9,Reject,8,9,2,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,1320
Smart Watches,Wena 3,Sony,28000,28300,25,1095,1070,99,A,0,0,0,3,FALSE,Fully functional with light cosmetic wear.,26600
Mobile Phones,Galaxy A55,Samsung,67900,70500,2188,1825,0,53,D,5,2,0,8,FALSE,Visible scratches on body. Small dents. Heavily used with visible wear.,8950
Refrigerators,Eon 244L,Godrej,107900,108300,80,180,100,93,A,2,0,0,0,FALSE,Like new condition. Original charger and box included.,99100
Microwaves,Solo 20L,Samsung,15300,17500,470,545,75,96,A,1,0,0,1,FALSE,Like new condition. Original charger and box included.,11100
Furniture,BILLY Bookcase,IKEA,87100,105300,2319,180,0,22,Reject,3,0,8,4,TRUE,Major crack visible but product powers on. Minor scratches on body. Moderate usage marks.,13950
Tablets,Galaxy Tab S9,Samsung,53800,56000,2427,1460,0,48,D,2,0,4,3,FALSE,Cracked corner but device works properly. Minor scratches on body.,5400
Refrigerators,InstaView 674L,LG,47600,54400,1132,180,0,81,B,3,0,0,3,FALSE,Minor scratches on body.,18300
Headphones,Galaxy Buds2 Pro,Samsung,19900,20600,2175,1825,0,56,D,2,2,0,6,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,3250
Tablets,iPad 10th Gen,Apple,19400,21300,412,1095,683,44,D,3,2,5,8,FALSE,Cracked corner but device works properly. Minor scratches on body. Small dents.,4450
Tablets,Tab P11 64GB,Lenovo,41700,48700,211,697,486,23,Reject,5,7,7,7,FALSE,Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,4350
Headphones,AirPods 2,Apple,5600,6400,925,1825,900,90,A,1,1,0,0,FALSE,Like new condition. Original charger and box included.,2500
Headphones,AirPods 2,Apple,16800,19900,19,1095,1076,91,A,2,1,0,2,FALSE,Excellent condition with minimal signs of use. All accessories included.,15850
Furniture,KALLAX Shelf,IKEA,56400,60300,583,180,0,14,Reject,4,4,10,7,FALSE,Major crack visible but product powers on. Minor scratches on body. Small dents.,9000
Washing Machines,Ace 7kg,Whirlpool,50600,59300,15,1095,1080,95,A,2,0,0,2,FALSE,Like new condition. Original charger and box included.,48050
Microwaves,Convection 30L,Godrej,12400,13100,374,1460,1086,95,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,10550
Mobile Phones,Galaxy S23 256GB,Samsung,18500,20300,5,1526,1521,97,A,1,0,0,0,FALSE,Barely used product with original packaging and invoice available.,17575
Microwaves,Convection 28L,Samsung,15700,18500,382,365,0,86,B,2,2,0,0,FALSE,Minor scratches on body. Small dents.,9400
Microwaves,Convection 28L,LG,16000,17100,1132,1825,693,37,Reject,0,4,8,3,FALSE,Major crack visible but product powers on. Small dents.,1600
Televisions,OLED G3 65,LG,243200,263600,1683,1460,0,81,B,1,0,0,4,FALSE,Moderate usage marks.,36600
Mobile Phones,iPhone 16,Apple,79100,86500,633,333,0,88,B,3,0,0,1,FALSE,Minor scratches on body.,41100
Microwaves,Solo 20L,Samsung,5700,5500,371,365,0,100,A,0,0,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,4650
Refrigerators,Edge 205L,Godrej,33700,32100,718,1825,1107,80,B,5,2,0,2,FALSE,Visible scratches on body. Small dents.,16050
Televisions,Crystal 4K 55,Samsung,79100,82800,1025,1095,70,36,Reject,5,3,5,4,FALSE,Cracked corner but device works properly. Visible scratches on body. Small dents.,7910
Mobile Phones,Galaxy A55 16GB RAM,Samsung,66100,76500,943,1460,517,31,Reject,3,4,7,8,FALSE,Major crack visible but product powers on. Minor scratches on body. Small dents.,6610
Laptops,MacBook Pro 14,Apple,53400,54700,1339,1825,486,24,Reject,3,4,7,7,FALSE,Major crack visible but product powers on. Minor scratches on body. Small dents.,5350
Microwaves,Grill 25L,Whirlpool,43800,50500,925,1825,900,62,C,5,0,1,6,TRUE,Visible scratches on body. Moderate usage marks. Missing original accessories or packaging.,13100
Washing Machines,Stainwash 7.5kg,Whirlpool,59600,57200,1344,730,0,75,B,0,0,0,2,TRUE,Missing original accessories or packaging.,20000
Smart Watches,Galaxy Watch 6,Samsung,18900,19100,1717,545,0,78,B,0,0,0,4,FALSE,Moderate usage marks.,4700
Microwaves,Convection 28L,LG,10500,10000,1470,1825,355,77,B,3,1,0,1,FALSE,Minor scratches on body.,2900
Refrigerators,Frost Free 260L,LG,95400,93500,955,545,0,76,B,0,6,0,1,FALSE,Noticeable dents.,33400
Refrigerators,Convertible 335L,LG,97300,113000,2155,365,0,66,C,4,0,0,5,FALSE,Minor scratches on body. Moderate usage marks.,16600
Televisions,OLED G3 65,LG,54500,60600,1817,365,0,65,C,4,0,0,5,FALSE,Minor scratches on body. Moderate usage marks.,8050
Laptops,Latitude 5440 128GB,Dell,108200,124500,1281,1460,179,55,D,2,3,2,5,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,15000
Tablets,Tab M10,Lenovo,56200,55000,1733,180,0,78,B,1,0,0,3,FALSE,Fully functional with light cosmetic wear.,12300
Headphones,Airdopes 141,Boat,23300,24300,18,1095,1077,92,A,2,1,0,1,FALSE,Barely used product with original packaging and invoice available.,22000
Washing Machines,EcoBubble 7kg,Samsung,98400,97700,1541,1039,0,67,C,1,4,0,5,FALSE,Small dents. Moderate usage marks.,22900
Laptops,Spectre x360,HP,135200,128700,467,1825,1358,5,Reject,10,9,7,9,TRUE,Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,13520
Headphones,Galaxy Buds2,Samsung,31900,30700,1764,545,0,67,C,0,3,0,4,FALSE,Small dents. Moderate usage marks.,6900
Furniture,Study Table,Godrej,87700,103900,1331,531,0,52,D,3,1,4,4,FALSE,Crack on outer panel but usable. Minor scratches on body. Moderate usage marks.,19850
Smart Watches,Storm Pro,Boat,8900,8600,1432,545,0,78,B,4,1,0,2,FALSE,Minor scratches on body.,2200
Microwaves,Solo 20L,Godrej,32700,31700,29,489,460,92,A,2,1,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,30050
Microwaves,Convection 28L,Samsung,17900,19300,370,1825,1455,75,B,0,1,4,0,FALSE,Crack on outer panel but usable.,7950
Laptops,Pavilion 15,HP,66300,69000,2142,545,0,61,C,6,1,0,6,FALSE,Visible scratches on body. Moderate usage marks.,9550
Televisions,Bravia 75 4K Smart TV,Sony,91900,101200,1366,545,0,70,C,4,0,0,2,TRUE,Minor scratches on body. Missing original accessories or packaging. Refurbished and tested by seller.,16500
Televisions,Neo QLED 75,Samsung,16800,19900,564,365,0,81,B,3,2,0,1,FALSE,Minor scratches on body. Small dents.,6850
Tablets,iPad 10th Gen,Apple,63100,67900,1683,730,0,62,C,0,0,4,2,FALSE,Cracked corner but device works properly.,9950
Refrigerators,Eon 244L,Godrej,92500,91000,664,545,0,86,B,3,0,0,4,FALSE,Minor scratches on body. Moderate usage marks.,51000
Microwaves,Convection 28L,LG,7400,8500,110,180,70,97,A,0,1,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,6950
Tablets,iPad 9th Gen 512GB,Apple,38200,36800,22,180,158,73,C,4,2,0,4,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,23700
Furniture,Interio Wardrobe,Godrej,23800,26000,2111,730,0,71,C,3,0,0,5,FALSE,Minor scratches on body. Moderate usage marks.,7950
Televisions,Bravia X75L 43 Smart TV,Sony,248200,288000,1413,365,0,63,C,5,1,0,7,FALSE,Visible scratches on body. Heavily used with visible wear.,38000
Microwaves,Charcoal 32L,LG,9700,10900,180,730,550,95,A,1,0,0,0,TRUE,Missing original accessories or packaging.,8300
Mobile Phones,Galaxy A55 256GB,Samsung,63000,76800,1389,562,0,49,D,2,5,0,7,TRUE,Minor scratches on body. Noticeable dents. Heavily used with visible wear.,7950
Headphones,WH-1000XM4,Sony,7100,8600,1746,521,0,64,C,7,0,0,8,FALSE,Visible scratches on body. Heavily used with visible wear.,1200
Tablets,iPad 10th Gen,Apple,61000,60200,1501,1825,324,65,C,4,2,0,5,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,10200
Refrigerators,Intellifresh 265L,Whirlpool,25800,31500,879,1095,216,82,B,2,1,0,3,FALSE,Minor scratches on body.,12550
Refrigerators,Triple Door 300L,Whirlpool,15000,15700,714,1460,746,100,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,11000
Tablets,Tab M10 512GB,Lenovo,39100,38900,1412,545,0,55,D,5,4,0,5,FALSE,Visible scratches on body. Small dents. Moderate usage marks.,5650
Televisions,OLED C3 55 Smart TV,LG,216100,207700,2186,545,0,63,C,2,1,0,5,FALSE,Minor scratches on body. Moderate usage marks.,43650
Laptops,MacBook Pro 14,Apple,139100,150300,2235,1095,0,61,C,2,2,0,7,FALSE,Minor scratches on body. Small dents. Heavily used with visible wear.,21250
Refrigerators,Magicool 190L,Whirlpool,29100,30200,1911,1095,0,13,Reject,5,3,7,7,TRUE,Major crack visible but product powers on. Visible scratches on body. Small dents.,2910
Furniture,Office Chair,Godrej,115900,125600,1264,180,0,5,Reject,8,8,7,8,TRUE,Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,18550
Microwaves,Grill 25L,Whirlpool,14800,18000,186,180,0,87,B,3,2,0,1,FALSE,Minor scratches on body. Small dents.,9650
Laptops,Legion 5,Lenovo,63400,69100,9,180,171,93,A,2,1,0,1,FALSE,Like new condition. Original charger and box included.,60230
Refrigerators,Intellifresh 265L,Whirlpool,33900,39500,2078,1223,0,42,D,5,7,0,9,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,3400
Mobile Phones,Galaxy A55,Samsung,89100,101500,2391,545,0,72,C,1,0,0,6,FALSE,Moderate usage marks.,17650
Washing Machines,Front Load 9kg,LG,54600,59700,256,545,289,99,A,0,0,0,2,FALSE,Barely used product with original packaging and invoice available.,50200
Refrigerators,Triple Door 300L,Whirlpool,79500,87800,1220,1095,0,62,C,0,0,5,2,FALSE,Crack on outer panel but usable.,10900
Refrigerators,InstaView 674L,LG,39400,38600,1051,1710,659,6,Reject,6,2,9,8,TRUE,Major crack visible but product powers on. Visible scratches on body. Small dents.,3950
Mobile Phones,iPhone SE 64GB,Apple,94300,106000,22,545,523,99,A,3,0,0,0,FALSE,Minor scratches on body.,89585
Laptops,G15 Gaming,Dell,229000,251100,2030,1095,0,42,D,6,8,0,8,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,22900
Microwaves,Magicook 20L,Whirlpool,39700,40400,792,1825,1033,93,A,0,0,0,2,FALSE,Excellent condition with minimal signs of use. All accessories included.,26250
Washing Machines,Front Load 9kg,LG,84200,96000,47,1460,1413,100,A,1,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,79990
Refrigerators,Frost Free 260L,LG,69200,67800,1929,730,0,23,Reject,3,0,8,6,FALSE,Major crack visible but product powers on. Minor scratches on body. Moderate usage marks.,6920
Televisions,Bravia X90L 55,Sony,56400,62100,842,1648,806,28,Reject,9,7,0,10,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,5650
Headphones,AirPods Pro,Apple,10400,12600,2217,365,0,66,C,3,2,0,4,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,1200
Washing Machines,Eon 7kg,Godrej,64800,74100,1425,545,0,62,C,3,3,1,6,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,12750
Washing Machines,Inverter 7kg,LG,69900,79100,463,1825,1362,80,B,2,2,0,5,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,41900
Mobile Phones,Galaxy M35 128GB,Samsung,118000,125300,960,1460,500,94,A,1,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,52850
Mobile Phones,iPhone SE,Apple,80900,95600,1562,1460,0,81,B,2,1,0,2,FALSE,Minor scratches on body.,18550
Mobile Phones,Galaxy M35,Samsung,47100,55000,1843,365,0,62,C,4,2,0,6,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,6550
Televisions,Neo QLED 75 Smart TV,Samsung,45700,47900,994,730,0,86,B,3,0,0,2,FALSE,Minor scratches on body.,17300
Microwaves,Magicook 20L,Whirlpool,19900,20200,598,1095,497,98,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,15600
Refrigerators,Magicool 190L,Whirlpool,49200,55100,2221,180,0,52,D,3,2,0,6,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,6400
Microwaves,Magicook 20L,Whirlpool,27000,30700,1999,180,0,59,D,4,2,0,6,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,4950
Tablets,iPad 9th Gen,Apple,32300,38200,1626,1460,0,65,C,2,0,2,3,FALSE,Minor scratches on body.,4500
Televisions,OLED C3 55,LG,224800,218100,391,180,0,14,Reject,7,4,8,5,TRUE,Major crack visible but product powers on. Visible scratches on body. Small dents.,27700
